"summary","detail","estimate","artifact","release","status"
"formulate and implement coding/naming conventions",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"build automation and dependency resolution",,"0","arch","§ 3. During 1st release (architecture POC)....","in progress"
"formulate and implement application patterns",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"tool selection: bug tracking tools",,"0","tool","§ 2. Early on team agrees on....","in progress"
"Space planning",,"0","team","§ 1. Up front discuss....","on deck"
"methods for risk management",,"0","method","§ 2. Early on team agrees on....","on deck"
"refactoring guidelines",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"Interoperability/integration requirements",,"0","arch","§ 1. Up front discuss....","on deck"
"team agrees with everything from § 1.","","0","team","§ 2. Early on team agrees on....","on deck"
"Final acceptance criteria",,"0","model","§ 1. Up front discuss....","on deck"
"methods for estimation and release planning",,"0","method","§ 2. Early on team agrees on....","on deck"
"Vision of solution",,"0","model","§ 1. Up front discuss....","in progress"
"release cadence",,"0","method","§ 0. Establish pattern languange(s)","in progress"
"testing expectations for integration tests",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"testing expectations for functional (black box) tests",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"methods for bug tracking",,"0","method","§ 2. Early on team agrees on....","in progress"
"methods for iteration/task planning",,"0","method","§ 2. Early on team agrees on....","on deck"
"Initial estimate",,"0","model","§ 1. Up front discuss....","on deck"
"Budget constraints",,"0","model","§ 1. Up front discuss....","on deck"
"Business and technical priorities",,"0","model","§ 1. Up front discuss....","in progress"
"communication patterns",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"environments: testing servers",,"0","env","§ 3. During 1st release (architecture POC)....","in progress"
"Initial release plan",,"0","model","§ 1. Up front discuss....","on deck"
"testing expectations for regression tests",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"requirements management",,"0","method","§ 0. Establish pattern languange(s)","in progress"
"construction patterns",,"0","arch","§ 0. Establish pattern languange(s)","on deck"
"prioritization games",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"interoperability/integration guidelines",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"tools and environments",,"0","tool","§ 0. Establish pattern languange(s)","in progress"
"test harnesses (including containers, DBs, ....)",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"Problem statement",,"0","model","§ 1. Up front discuss....","in progress"
"release and iteration approach","","0","model","§ 2. Early on team agrees on....","on deck"
"formulate and implement security framework",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"core team and roles","","0","team","§ 2. Early on team agrees on....","in progress"
"tool selection: collaboration/communication tools",,"0","tool","§ 2. Early on team agrees on....","on deck"
"tool selection: development tools",,"0","tool","§ 2. Early on team agrees on....","in progress"
"testing expectations for managing test data sets",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"accountability (RACI model?)",,"0","team","§ 2. Early on team agrees on....","on deck"
"Calendar constraints and delivery dates",,"0","team","§ 1. Up front discuss....","on deck"
"methods for configuration and build management",,"0","tool","§ 2. Early on team agrees on....","in progress"
"other contributors (outside the core team)","","0","team","§ 2. Early on team agrees on....","on deck"
"server infrastructure (db, build, app, ....)",,"0","env","§ 3. During 1st release (architecture POC)....","in progress"
"user feedback mechanisms",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"environments: development workstations, servers",,"0","env","§ 3. During 1st release (architecture POC)....","in progress"
"domain model",,"0","model","§ 0. Establish pattern languange(s)","on deck"
"quality measures",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"methods for deployment planning",,"0","method","§ 2. Early on team agrees on....","on deck"
"environments: production servers",,"0","env","§ 3. During 1st release (architecture POC)....","in progress"
"Requirements & scope",,"0","model","§ 1. Up front discuss....","on deck"
"Staffing",,"0","team","§ 1. Up front discuss....","on deck"
"formulate and implement usability/HCI guidelines",,"0","arch","§ 3. During 1st release (architecture POC)....","on deck"
"methods for tracking progress",,"0","method","§ 2. Early on team agrees on....","in progress"
"environments: user session servers",,"0","env","§ 3. During 1st release (architecture POC)....","on deck"
"formulate and implement code and design reviews expectations",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"Intangible expectations (knowledge sharing, mentoring, ....)",,"0","team","§ 1. Up front discuss....","on deck"
"tool selection: requirements management tools",,"0","tool","§ 2. Early on team agrees on....","in progress"
"tool selection: run-time tools",,"0","tool","§ 2. Early on team agrees on....","in progress"
"methods for user feedback planning",,"0","method","§ 2. Early on team agrees on....","on deck"
"testing expectations for  unit tests",,"0","method","§ 3. During 1st release (architecture POC)....","on deck"
"start a deployment checklist so it's not a surprise at the end",,"0","env","§ 3. During 1st release (architecture POC)....","on deck"
"issue tracking",,"0","method","§ 0. Establish pattern languange(s)","on deck"
"environments: pre-production servers",,"0","env","§ 3. During 1st release (architecture POC)....","on deck"
"Quality(/qualitative) measures and priorities",,"0","arch","§ 1. Up front discuss....","on deck"
"Tool constraints",,"0","arch","§ 1. Up front discuss....","on deck"
"methods for requirements management",,"0","method","§ 2. Early on team agrees on....","on deck"
